"Lizenzliste: Wiley DEAL VP [EZB-WILEY-01713]"			 			 			 			 			 	
"Datum: 05.05.2020 um 15:30 Uhr"			 			 			 			 			 	
"Typ der Lizenzen: Alle angezeigten Lizenzen"			 			 			 			 			 	
 			 			 			 			 			 	
"EZB-Id"	"Titel"	"Verlag"	"Fach"	"E-ISSN"	"P-ISSN"	"ZDB-Nummer"	"FrontdoorURL"	"Link zur Zeitschrift"	"erstes Jahr"	"erstes volume"	"erstes issue"	"letztes Jahr"	"letztes volume"	"letztes issue"	"Embargo"	"Schlagworte"
205488	"Advanced Materials Interfaces "	"Wiley-Blackwell"	"Maschinenwesen, Werkstoffwissenschaften, Fertigungstechnik, Bergbau u. Hüttenwesen, Verkehrstechnik, Feinwerktechnik"	"2196-7350"	"2196-7350"	"2750376-8"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=205488"	"https://onlinelibrary.wiley.com/journal/21967350"	2014	1						"Werkstoffkunde"
243058	"Advanced Materials Technologies"	"Wiley"	"Maschinenwesen, Werkstoffwissenschaften, Fertigungstechnik, Bergbau u. Hüttenwesen, Verkehrstechnik, Feinwerktechnik"	"2365-709X"	"2365-709X"	"2850995-X"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=243058"	"https://onlinelibrary.wiley.com/journal/2365709X"	2016	1						"Werkstoffkunde"
195568	"Advanced Optical Materials"	"Wiley-Blackwell"	"Physik"	"2195-1071"	"2195-1071"	"2708158-8"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=195568"	"https://onlinelibrary.wiley.com/journal/21951071"	2013	1						"Optik"
314634	"Advanced Quantum Technologies"	"Wiley"	"Physik"	"2511-9044"	"2511-9044"	"2885525-5"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=314634"	"https://onlinelibrary.wiley.com/journal/25119044"	2018	1						"Quantenphysik"
252611	"Advanced Sustainable Systems"	"Wiley"	"Energie, Umweltschutz, Kerntechnik"	"2366-7486"	"2366-7486"	"2880982-8"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=252611"	"https://onlinelibrary.wiley.com/journal/23667486"	2017	1						"Nachhaltigkeit"
3994	"Advanced Synthesis and Catalysis "	"Wiley-Blackwell - STM "	"Chemie und Pharmazie"	"1521-3897;1615-4169"	"0021-8383;0368-301X;0941-1216;1436-9966;1615-4150"	"2041384-1"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=3994"	"https://onlinelibrary.wiley.com/journal/16154169"	1999	341						"Angewandte Chemie"
313244	"Advanced Theory and Simulations "	"Wiley"	"Physik"	"2513-0390"	"2513-0390"	"2894557-8"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=313244"	"https://onlinelibrary.wiley.com/journal/25130390"	2018	1						"Theoretische Physik"
314638	"Advanced Therapeutics"	"Wiley"	"Medizin"	"2366-3987"	"2366-3987"	"2920320-X"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=314638"	"https://onlinelibrary.wiley.com/journal/23663987"	2018	1						"Physikalische Therapie"
314639	"Advances in Cell and Gene Therapy"	"Wiley"	"Medizin"	"2573-8461"	"2573-8461"	"2920323-5"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=314639"	"https://onlinelibrary.wiley.com/journal/257384611"	2018	1						"Biomedizin"
217232	"Advances in Political Psychology "	"Wiley & Sons"	"Politologie;Psychologie"	""	""	"2775502-2"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=217232"	"https://onlinelibrary.wiley.com/journal/14679221"	2014							"Diplomatie"
