publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	own_anchor	all_issns	zdb_id
Review of Radical Political Economics	0486-6134	1552-8502	1969	1					http://journals.sagepub.com/home/rrp		35974		Volltext		Sage Publications; Elsevier (früher)	sage_premier	0486-6134;1552-8502	2012535-5
Review of Research in Education	0091-732X	1935-1038	1973	1					http://journals.sagepub.com/home/rre		88509		Volltext		Sage Publications ; HighWire Press ; American Educational Research Association	sage_premier	0091-732X;1935-1038	2174213-3
Reviews of Human Factors and Ergonomics	1557-234X	2163-3134	2005	1		2015	10		http://journals.sagepub.com/home/rev		111833		Volltext		Sage Publications ; Human Factors and Ergonomics Society	sage_premier	1557-234X;2163-3134	2475551-5
Scandinavian Journal of Public Health	0300-8037	1651-1905	1973	1					http://journals.sagepub.com/home/sjp		5557		Volltext		Sage Publications	sage_premier	0300-8037;1403-4948;1651-1905	2027122-0
School Psychology International	0143-0343	1461-7374	1979	1					http://journals.sagepub.com/home/spi		15709		Volltext		Sage Publications	sage_premier	0143-0343;1461-7374	2060753-2
Science Communication	1075-5470	1552-8545	1979	1					http://journals.sagepub.com/home/scx		7692		Volltext		Sage Publications	sage_premier	1075-5470;1552-8545	2014915-3
Science, Technology & Society	0971-7218	0971-7218	1996	1					http://journals.sagepub.com/home/sts		54259		Volltext		Sage Publications	sage_premier	0971-7218;0973-0796	2190014-0
Science, Technology, and Human Values	0162-2439	1552-8251	1976	1	4				http://journals.sagepub.com/home/sth		7575		Volltext		Sage Publications	sage_premier	0162-2439;0738-2618;1546-315X;1552-8251	2021122-3
Second Language Research	0267-6583	1477-0326	1985	1					http://journals.sagepub.com/home/slr		4807		Volltext		Sage Publications ; HighWire Press ; JSTOR	sage_premier	0267-6583;1477-0326	2023712-1
Security Dialogue	0007-5035	1460-3640	1970	1					http://journals.sagepub.com/home/sdi		7954		Volltext		Sage Publications ; JSTOR	sage_premier	0007-5035;0967-0106;1460-3640;2516-9181	1498671-1
Seminars in Cardiothoracic and Vascular Anesthesia	1089-2532	1940-5596	1997	1					http://journals.sagepub.com/home/scv		65587		Volltext		Sage Publications	sage_premier	1089-2532;1940-5596	2233047-1
Sexual Abuse (formerly: Annals of Sex Research)	0843-4611	1573-286X	1988	1					http://journals.sagepub.com/home/sax		8082		Volltext		Sage Publications ; früher: Springer Science+Business Media B.V., Kluwer Academic Publ.	sage_premier	0843-4611;1079-0632;1573-286X	2018683-6
Sexualities	1363-4607	1461-7382	1998	1					http://journals.sagepub.com/home/sex		19786		Volltext		Sage Publications	sage_premier	1363-4607;1461-7382	2070733-2
Simulation : Transactions of the Society for Modeling and Simulation International	0037-5497	1741-3133	1963	1					http://journals.sagepub.com/home/sim		19651		Volltext		Sage Publications	sage_premier	0037-5497;1741-3133	2072208-4
Simulation and Gaming (formerly: Simulation and Games)	0037-5500	1552-826X	1970	1					http://journals.sagepub.com/home/sag		9049		Volltext		Sage Publications	sage_premier	0037-5500;1046-8781;1552-826X	2030794-9
SLAS Discovery	1087-0571	1552-454X	1996	1					http://journals.sagepub.com/home/jbx		8956		Volltext		Sage Publications	sage_premier	1087-0571;2472-5552;1552-454X;2472-5560	2886402-5
SLAS Technology: Translating Life Sciences Innovation	1535-5535	1540-2452	1999	4					http://journals.sagepub.com/home/jla		151201		Volltext		Sage Publications	sage_premier	1535-5535;2211-0682;2472-6303;1540-2452;2472-6311	2900310-6
Small Group Research	1046-4964	1552-8278	1970	1					http://journals.sagepub.com/home/sgr		6367		Volltext		Sage Publications	sage_premier	1046-4964;1552-8278	2030802-4
Social and Legal Studies	0964-6639	1461-7390	1992	1					http://journals.sagepub.com/home/sls		7824		Volltext		Sage Publications	sage_premier	0964-6639;1461-7390	2024212-8
Social Change	0049-0857	0976-3538	1999	29					http://journals.sagepub.com/home/sch		133173		Volltext		Sage Publications	sage_premier	0049-0857;0976-3538	2545687-8
Social Compass	0037-7686	1461-7404	1953	1					http://journals.sagepub.com/home/scp		5154		Volltext		Sage Publications	sage_premier	0037-7686;1461-7404	1490732-x
Social Currents 	2329-4965	2329-4973	2014	1					http://journals.sagepub.com/home/scu		225303		Volltext		Sage Publishing	sage_premier	2329-4965;2329-4973	2803026-6
Social Marketing Quarterly	1524-5004	1539-4093	1994	1					http://journals.sagepub.com/home/smq		29033		Volltext		Sage Publications	sage_premier	1524-5004;1539-4093	2086163-1
Social Psychological and Personality Science	1948-5506	1948-5514	2010	1					http://journals.sagepub.com/home/spp		129168		Volltext		Sage Publications	sage_premier	1948-5506;1948-5514	2532395-7
Social Psychology Quarterly (2004 -)	0190-2725	1939-8999	2004	67					http://journals.sagepub.com/home/spq		40469		Volltext		American Sociological Association ; Sage Publications	sage_premier	0190-2725;1939-8999	2009694-X
Social Science Computer Review	0894-4393	1552-8286	1983	1					http://journals.sagepub.com/home/ssc		8338		Volltext		Sage Publications	sage_premier	0894-4393;1552-8286	2021894-1
Social Science Information	0539-0184	1461-7412	1962	1					http://journals.sagepub.com/home/ssi		8584		Volltext		Sage Publications	sage_premier	0539-0184;1461-7412	2019602-7
Social Studies of Science	0306-3127	1460-3659	1971	1					http://journals.sagepub.com/home/sss		4682		Volltext		Sage Publications	sage_premier	0306-3127;1460-3659	1482712-8
Society and Culture in South Asia	2393-8617	2394-9872	2015	1					http://journals.sagepub.com/home/scs		240225		Volltext		Sage Publishing	sage_premier	2393-8617;2394-9872	2845847-3
Society and Mental Health (SMH)	2156-8693	2156-8731	2011	1					http://journals.sagepub.com/home/smh		169256		Volltext		Sage Publications	sage_premier	2156-8693;2156-8731	2629088-1
Sociological Methodology (aktuelle Jahrgänge)	0081-1750	1467-9531	1999	29					http://journals.sagepub.com/home/smx		6738		Volltext		Sage Publications ; formerly Wiley-Blackwell	sage_premier	0081-1750;1467-9531	2024264-5
Sociological Methods and Research : SMR	0049-1241	1552-8294	1972	1					http://journals.sagepub.com/home/smr		6368		Volltext		Sage Publications	sage_premier	0049-1241;1552-8294	2002146-X
Sociological Perspectives (Pacific Sociological Association)	0731-1214	1533-8673	1999	42					http://journals.sagepub.com/home/spx		55816		Volltext		Sage Publications; JSTOR	sage_premier	0731-1214;1533-8673	2056915-4
