"Institution"	"EZB-Id"	"Sigel"
"Hochschulbibliothek Karlsruhe (PH)"	"HSBKA"	"DE-751"
"Hessische Stiftung Friedens- und Konfliktforschung, Bibliothek"	"HSFK"	"DE-F197"
"Hertie School, Library and Information Services"	"HSG"	"DE-B1570"
"Hochschule Niederrhein, Bibliothek"	"HSNRH"	"DE-829"
"Hochschule für Technik und Wirtschaft Berlin, Hochschulbibliothek"	"HTW"	"DE-523"
"Hochschule für Technik und Wirtschaft Dresden, Bibliothek"	"HTWDD"	"DE-520"
"Hochschule für Technik, Wirtschaft und Kultur, Hochschulbibliothek"	"HTWK"	"DE-L189"
"Hochschule Mittweida (FH), Hochschulbibliothek"	"HTWM"	"DE-Mit1"
"Hochschule für Technik und Wirtschaft des Saarlandes, Bibliothek / Bereich Goebenstraße"	"HTWS"	"DE-Sa16"
"Hochschule Zittau / Görlitz, Hochschulbibliothek"	"HZG"	"DE-Zi4"
"Institut für Arbeitsmarkt- und Berufsforschung, Fachbibliothek für Arbeitsmarktforschung und Arbeitsverwaltung"	"IAB"	"DE-N38"
"Leibniz-Institut für Agrarentwicklung in Transformationsökonomien, Bibliothek"	"IAMO"	"DE-2575"
"Max-Planck-Institut für Chemische Ökologie und Max-Planck-Institut für Biogeochemie, Wissenschaftliche Bibliothek"	"ICE"	"DE-J126"
"Leibniz-Institut für Deutsche Sprache (IDS), Bibliothek"	"IDS"	"DE-Mh39"
"Helmholtz-Zentrum für Ozeanforschung Kiel (GEOMAR), Bibliothek Ostufer"	"IFMAR"	"DE-Ki130"
"INM - Leibniz-Institut für Neue Materialien gGmbH, NTNM-Bibliothek"	"INM"	"DE-291-415"
"Max-Planck-Institut für Innovation und Wettbewerb / Max-Planck-Institut für Steuerrecht und Öffentliche Finanzen, Bibliothek"	"IPMPG"	"DE-M382"
"IPN - Leibniz-Institut für die Pädagogik der Naturwissenschaften und Mathematik an der Universität Kiel, Bibliothek"	"IPN"	"DE-Ki128"
"Leibniz-Institut für Raumbezogene Sozialforschung e.V. (IRS), Bibliothek"	"IRS"	"DE-B567"
"Kunsthistorisches Institut in Florenz, Max-Planck-Institut, Bibliothek"	"KHIFI"	"DE-Y3"
"Karlsruher Institut für Technologie, KIT-Bibliothek / Zentralbibliothek Nord"	"KIT"	"DE-Ka85"
"Leibniz-Institut für Neurobiologie, Wissenschaftliche Bibliothek"	"LIN"	"DE-Ma45"
"Charité - Universitätsmedizin Berlin, Campus Benjamin Franklin, Institut für Zahn-, Mund- und Kieferheilkunde, Bibliothek"	"MBCB"	"DE-578-821"
"Fachhochschule Südwestfalen, Fachbibliothek Hagen, Zentralbibliothek"	"MFHB"	"DE-Hag4"
"Museum für Naturkunde, Leibniz-Institut für Evolutions- und Biodiversitätsforschung, Bibliothek"	"MFN"	"DE-B16"
"Mathematisches Forschungsinstitut Oberwolfach gGmbH, Bibliothek"	"MFO"	"DE-Frei3c"
"Medizinische Hochschule Hannover, Bibliothek"	"MHH"	"DE-354"
