"Lizenzliste: Frontiers Open Access Journals [PUB-FRONT-00001]"			 			 			 			 			 	
"Datum: 02.04.2019 um 10:23 Uhr"			 			 			 			 			 	
"Typ der Lizenzen: (Gold) Open Access Lizenzen"			 			 			 			 			 	
 			 			 			 			 			 	
"EZB-Id"	"Titel"	"Verlag"	"Fach"	"E-ISSN"	"P-ISSN"	"ZDB-Nummer"	"FrontdoorURL"	"Link zur Zeitschrift"	"erstes Jahr"	"erstes volume"	"erstes issue"	"letztes Jahr"	"letztes volume"	"letztes issue"	"Embargo"	"Schlagworte"
237348	"Frontiers in Mechanical Engineering"	"Frontiers "	"Maschinenwesen, Werkstoffwissenschaften, Fertigungstechnik, Bergbau u. Hüttenwesen, Verkehrstechnik, Feinwerktechnik"	"2297-3079"	""	"2835636-6"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=237348"	"http://journal.frontiersin.org/journal/mechanical-engineering"	2015						0	"Mechanik"
217757	"Frontiers in Medicine "	"Frontiers Media"	"Medizin"	"2296-858X"	""	"2775999-4"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=217757"	"http://www.frontiersin.org/Medicine"	2014						0	"Allgemeine medizinische Zeitschriften"
150533	"Frontiers in Microbiology "	"Frontiers Media"	"Biologie"	"1664-302X"	""	"2587354-4"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=150533"	"http://www.frontiersin.org/microbiology"	2010	1					0	"Mikrobiologie"
229919	"Frontiers in Molecular Biosciences "	"Frontiers "	"Biologie"	"2296-889X"	""	"2814330-9"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=229919"	"http://www.frontiersin.org/Molecular_Biosciences"	2014	1					0	"Molekularbiologie"
109933	"Frontiers in Molecular Neuroscience"	"Frontiers Research Foundation"	"Medizin"	"1662-5099"	""	"2452967-9"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=109933"	"http://www.frontiersin.org/Molecular_Neuroscience/archive"	2008	1					0	"Neurologie"
109934	"Frontiers in Neural Circuits"	"Frontiers Research Foundation"	"Medizin"	"1662-5110"	""	"2452968-0"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=109934"	"http://www.frontiersin.org/Neural_Circuits"	2007	1					0	"Neurologie"
109935	"Frontiers in Neuroanatomy"	"Frontiers Research Foundation"	"Medizin"	"1662-5129"	""	"2452969-2"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=109935"	"http://www.frontiersin.org/Neuroanatomy/archive"	2007	1					0	"Neurologie"
109944	"Frontiers in Neuroenergetics"	"Frontiers Research Foundation"	"Medizin"	"1662-6427"	""	"2474552-2"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=109944"	"http://www.frontiersin.org/neuroenergetics/"	2009	1					0	"Neurologie"
109945	"Frontiers in Neuroengineering"	"Frontiers Research Foundation"	"Medizin"	"1662-6443"	""	"2452978-3"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=109945"	"http://www.frontiersin.org/neuroengineering/"	2008	1					0	"Neurologie"
109941	"Frontiers in Neuroinformatics"	"Frontiers Research Foundation"	"Medizin"	"1662-5196"	""	"2452979-5"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=109941"	"http://www.frontiersin.org/Neuroinformatics/archive"	2007	1					0	"Neurologie"
136852	"Frontiers in Neurology"	"Frontiers Research Foundation; PubMed Central"	"Medizin"	"1664-2295"	""	"2564214-5"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=136852"	"http://www.frontiersin.org/neurology/archive"	2010		1				0	"Neurologie"
109942	"Frontiers in Neurorobotics"	"Frontiers Research Foundation"	"Medizin;Technik allgemein"	"1662-5218"	""	"2453002-5"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=109942"	"http://www.frontiersin.org/neurorobotics/"	2007	1					0	"Neurologie"
96793	"Frontiers in Neuroscience"	"Frontiers Research Foundation"	"Medizin"	"1662-453X"	"1662-4548"	"2411902-7"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=96793"	"http://www.frontiersin.org/Neuroscience/archive"	2007	1	1				0	"Neurologie"
218131	"Frontiers in Nutrition "	"Frontiers Media"	"Land- und Forstwirtschaft. Gartenbau. Fischereiwirtschaft. Hauswirtschaft. Ernährung"	"2296-861X"	""	"2776676-7"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=218131"	"http://www.frontiersin.org/Nutrition"	2014	1					0	"Ernährungsformen; Ernährungsmedizin; Ernährungsökologie; Lebensmittelchemie"
177262	"Frontiers in Oncology "	"Frontiers Media"	"Medizin"	"2234-943X"	""	"2649216-7"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=177262"	"http://www.frontiersin.org/oncology"	2011	1					0	"Onkologie"
197121	"Frontiers in Pediatrics"	"Frontiers Research Foundation"	"Medizin"	"2296-2360"	""	"2711999-3"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=197121"	"http://www.frontiersin.org/pediatrics"	2013	1					0	"Kinderheilkunde"
150534	"Frontiers in Pharmacology "	"Frontiers Media"	"Medizin"	"1663-9812"	""	"2587355-6"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=150534"	"http://www.frontiersin.org/pharmacology"	2010	1					0	"Pharmakologie"
198116	"Frontiers in Physics "	"Frontiers Media"	"Physik"	"2296-424X"	""	"2721033-9"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=198116"	"http://journal.frontiersin.org/journal/physics"	2013	1	1				0	"Allgemeine Physik"
