"Lizenzliste: Walter de Gruyter Online-Zeitschriften LLH1 AL [EZB-NALFK-00448]"			 			 			 			 			 	
"Datum: 11.10.2018 um 12:40 Uhr"			 			 			 			 			 	
"Typ der Lizenzen: Alle angezeigten Lizenzen"			 			 			 			 			 	
 			 			 			 			 			 	
"EZB-Id"	"Titel"	"Verlag"	"Fach"	"E-ISSN"	"P-ISSN"	"ZDB-Nummer"	"FrontdoorURL"	"Link zur Zeitschrift"	"erstes Jahr"	"erstes volume"	"erstes issue"	"letztes Jahr"	"letztes volume"	"letztes issue"	"Embargo"	"Schlagworte"
205630	"Donauraum, Der"	"Böhlau ; De Gruyter"	"Geschichte;Politologie;Soziologie"	"2307-289X"	"0012-5415"	"2751120-0"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=205630"	"http://www.degruyter.com/view/j/dnrm?recentIssue=true"	1956	1						"Länderbericht Europa;Europäische Geschichte"
109579	"Editio : Internationales Jahrbuch für Editionswissenschaft"	"de Gruyter; Niemeyer"	"Informations-, Buch- und Bibliothekswesen, Schrift- und Handschriftenkunde"	"1865-9446"	"0931-3079"	"2454656-2"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=109579"	"http://www.degruyter.com/view/j/edit?recentIssue=true"	1988	2						"Buchhandel"
109616	"English and American Studies in German"	"Niemeyer ; de Gruyter"	"Anglistik. Amerikanistik"	"1865-8946"	"0071-0490"	"2446619-0"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=109616"	"http://www.degruyter.com/view/j/east?recentIssue=true"	1969	1						"Allgemeine Anglistik"
172105	"Etruscan Studies"	"de Gruyter"	"Archäologie;Klassische Philologie. Byzantinistik. Mittellateinische und neugriechische Philologie. Neulatein"	"2163-8217"	"1080-1960"	"2503414-5"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=172105"	"http://www.degruyter.com/view/j/etst?recentIssue=true"	1994	1						"Klassische Archäologie"
46515	"European Company and Financial Law Review (ECFR)"	"de Gruyter"	"Rechtswissenschaft"	"1613-2556"	"1613-2548"	"2152166-9"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=46515"	"http://www.degruyter.com/view/j/ecfr?recentIssue=true"	2004	1						"Wirtschaftsrecht"
198728	"European Journal of Applied Linguistics"	"de Gruyter"	"Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen"	"2192-953X"	"2192-9521"	"2722383-8"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=198728"	"http://www.degruyter.com/view/j/eujal?recentIssue=true"	2013	1						"Linguistik"
150790	"European Journal of Scandinavian Studies (EJSS; Formerly: Skandinavistik)"	"de Gruyter"	"Germanistik. Niederländische Philologie. Skandinavistik"	"2191-9402"	"0342-8427"	"2589898-X"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=150790"	"http://www.degruyter.com/view/j/ejss?recentIssue=true"	2010	38						"Skandinavistik"
172108	"European Property Law Journal"	"de Gruyter"	"Rechtswissenschaft"	"2190-8362"	"2190-8273"	"2645916-4"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=172108"	"http://www.degruyter.com/view/j/eplj?recentIssue=true"	2012	1						"Urheberrecht"
55710	"European Review of Contract Law (ERCL)"	"de Gruyter"	"Rechtswissenschaft"	"1614-9939"	"1614-9920"	"2190950-7"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=55710"	"http://www.degruyter.com/view/j/ercl?recentIssue=true"	2005	1						"Wirtschaftsrecht"
151149	"European Tort Law Yearbook"	"de Gruyter"	"Rechtswissenschaft"	"2190-7781"	"2190-7773"	"2592813-2"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=151149"	"http://www.degruyter.com/view/j/etly?recentIssue=true"	2010	2009						"Zivilrecht"
15317	"Fabula"	"de Gruyter"	"Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen"	"1316-0464"	"0014-6242"	"2049688-6"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=15317"	"http://www.degruyter.com/view/j/fabl?recentIssue=true"	1958	1						"Erzählforschung"
195158	"Figurationen : Gender, Literatur, Kultur "	"Böhlau ; De Gruyter"	"Allgemeines, Fachübergreifendes;Soziologie"	"2194-363X"	"1439-4367"	"2097657-4"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=195158"	"http://www.degruyter.com/view/j/figurationen?recentIssue=true"	1999							"Genderforschung;Frauenliteratur"
52771	"Folia Linguistica (inkl. Folia Linguistica Historica)"	"de Gruyter"	"Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen"	"1614-7308"	"0165-4004"	"2202459-1"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=52771"	"http://www.degruyter.com/view/j/flin?recentIssue=true"	1967	1						"Allgemeine Linguistik"
123289	"Folia Linguistica Historica"	"de Gruyter"	"Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen"	"1614-7316"	"0168-647X"	"2466560-5"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=123289"	"http://www.degruyter.com/view/j/flin?recentIssue=true"	1980	1						"Allgemeine Linguistik"
38037	"Frühmittelalterliche Studien"	"de Gruyter"	"Geschichte"	"1613-0812"	"0071-9706"	"2051469-4"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=38037"	"http://www.degruyter.com/view/j/fmst?recentIssue=true"	1967	1						"Mittelalterliche Geschichte"
140261	"George-Jahrbuch"	"de Gruyter"	"Germanistik. Niederländische Philologie. Skandinavistik"	"1865-8881"	"1430-2519"	"2470929-3"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=140261"	"http://www.degruyter.com/view/j/georgejb?recentIssue=true"	2009	7		2014	10			"Deutsche Literaturgeschichte"
115794	"Germanistik"	"de Gruyter"	"Germanistik. Niederländische Philologie. Skandinavistik"	"1865-9187"	"0016-8912"	"2436249-9"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=115794"	"http://www.degruyter.com/view/j/germ?recentIssue=true"	2008	48						"Allgemeine Germanistik"
206619	"Geschichte in Köln"	"Böhlau ; De Gruyter"	"Geschichte"	"2198-0667"	"0720-3659"	"2052996-X"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=206619"	"http://www.degruyter.com/view/j/gik?recentIssue=true"	1978	1						"Landesgeschichte Deutschland;Nordrhein-Westfalen"
45828	"GPR : Zeitschrift für das Privatrecht der Europäischen Union (Formerly: GPR : Zeitschrift für Gemeinschaftsprivatrecht)"	"De Gruyter ; Sellier"	"Rechtswissenschaft;Wirtschaftswissenschaften"	"2193-9519"	"1612-9229"	"2150977-3"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=45828"	"http://www.degruyter.com/view/j/gpr?recentIssue=true"	2003	1	1	2016	13	6		"Wirtschaftsrecht;Privatrecht"
194588	"Historische Anthropologie"	"Böhlau ; De Gruyter"	"Ethnologie (Volks- und Völkerkunde)"	"2194-4032"	"0942-8704"	"2727075-0"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=194588"	"http://www.degruyter.com/view/j/ha?recentIssue=true"	1993	1						"Historische Anthropologie"
11486	"Humor : International Journal of Humor Research"	"Mouton de Gruyter"	"Psychologie"	"1613-3722"	"0933-1719"	"2051294-6"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=11486"	"http://www.degruyter.com/view/j/humr?recentIssue=true"	1988	1						"Kognitive Psychologie"
103193	"Iberoromania"	"Niemeyer ; de Gruyter"	"Romanistik"	"1865-9039"	"0019-0993"	"2421429-2"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=103193"	"http://www.degruyter.com/view/j/iber?recentIssue=true"	1969	1						"Iberoromanistik"
250143	"ICL Journal : Vienna Journal on International Constitutional Law"	"DeGruyter"	"Rechtswissenschaft"	"1995-5855"	"2306-3734"	"2396245-8"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=250143"	"http://www.degruyter.com/view/j/icl?recentIssue=true"	2007	1						"Vergleichende Rechtswissenschaften"
46993	"Indogermanische Forschungen (inkl. Anzeiger für indogermanische Sprach- und Altertumskunde. Beiblatt zu den indogermanischen Forschungen)"	"de Gruyter"	"Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen"	"1613-0405"	"0019-7262"	"2219780-1"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=46993"	"http://www.degruyter.com/view/j/indo?recentIssue=true"	1892	1						"Indogermanistik"
172111	"Information - Wissenschaft und Praxis (IWP) (2012 -)"	"De Gruyter Saur"	"Informations-, Buch- und Bibliothekswesen, Schrift- und Handschriftenkunde"	"1619-4292"	"1434-4653"	"1467864-0"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=172111"	"http://www.degruyter.com/view/j/iwp?recentIssue=true"	2012	63						"Informations- und Dokumentationswesen"
46889	"Intercultural Pragmatics"	"de Gruyter"	"Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen"	"1613-365X"	"1612-295X"	"2159617-7"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=46889"	"http://www.degruyter.com/view/j/iprg?recentIssue=true"	2004	1						"Semiotik;Interkulturelle Kommunikation"
