publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	own_anchor	all_issns	zdb_id
Neurosignals (-2003)	1422-4933	1422-4992	1998	7		2003	12		http://www.karger.com/nsg		19980		Volltext		Karger	karger_complete	1422-4933;1424-862x;1422-4992;1424-8638	2061922-4
Ocular Oncology and Pathology 	2296-4681	2296-4657	2015	1					http://www.karger.com/OOP		227748		Volltext		Karger	karger_complete	2296-4681;2296-4657	2806965-1
Oncology	0030-2414	1423-0232	1998	55					http://www.karger.com/ocl		2894		Volltext		Karger	karger_complete	0030-2414;0369-7606;1423-0232	1483096-6
Oncology Research and Treatment	0378-584X	1423-0240	1998	21					http://www.karger.com/ort		3046		Volltext		Karger	karger_complete	0378-584X;2296-5270;1423-0240;2296-5262	2749752-5
Ophthalmic Research	0030-3747	1423-0259	1998	30					http://www.karger.com/ore		3047		Volltext		Karger	karger_complete	0030-3747;1423-0259	1483177-6
Ophthalmologica (früher: Zeitschrift für Augenheilkunde)	0030-3755	1423-0267	1998	212					http://www.karger.com/oph		3048		Volltext		Karger	karger_complete	0030-3755;0372-834X;1423-0267	1483531-9
ORL (formerly Practica Oto-Rhino-Laryngologica)	0032-6305	1423-0275	1998	60					http://www.karger.com/orl		3045		Volltext		Karger	karger_complete	0032-6305;0301-1569;1423-0275	1483533-2
Oto-Rhino-Laryngologia Nova	1014-8221	1423-0283	1998	8		2003	12		http://www.karger.com/orn		3926		Volltext		Karger	karger_complete	1014-8221;1423-0283	1483536-8
Pancreatology	1424-3903	1424-3911	2001	1		2011	11		http://www.karger.com/pan		10008		Volltext		Elsevier ; formerly Karger	karger_complete	1424-3903;1424-3911	2043694-4
Pathobiology (formerly Experimental Cell Biology; Pathologia et Microbiologia; Schweizerische Zeitschrift für allgemeine Pathologie und Bakteriologie)	0031-2959	1423-0291	1998	66					http://www.karger.com/pat		3049		Volltext		Karger	karger_complete	0031-2959;0304-3568;0371-487X;1015-2008;1423-0291	1483541-1
Pathophysiology of Haemostasis and Thrombosis 	0301-0147	1423-0038	1998	28		2010	37		http://www.karger.com/pht		20127		Volltext		Karger	karger_complete	0301-0147;1424-8832;1423-0038;1424-8840	2081182-2
Pediatric Neurosurgery	0255-7975	1423-0305	1998	28					http://www.karger.com/pne		3925		Volltext		Karger	karger_complete	0255-7975;0302-2803;1016-2291;1423-0305	1483546-0
Pharmacology (formerly Medicina et Pharmacologia Experimentalis; Medicina Experimentalis)	0031-7012	1423-0313	1998	56					http://www.karger.com/pha		3050		Volltext		Karger	karger_complete	0031-7012;0258-2589;0543-3002;0543-3010;1423-0313	1483550-2
Phonetica	0031-8388	1423-0321	1998	55					http://www.karger.com/pho		3924		Volltext		Karger	karger_complete	0031-8388;1423-0321	1483552-6
Psychopathology (formerly: Psychiatria Clinica = Psychiatria et Neurologia / A)	0033-264X	1423-033X	1998	31					http://www.karger.com/psp		3051		Volltext		Karger	karger_complete	0033-264X;0254-4962;1423-033X	1483565-4
