"Institution"	"EZB-Id"	"Sigel"
"Kunsthistorisches Institut in Florenz, Max-Planck-Institut"	"KHIFI"	"DE-Y3"
"Landeskirchliche Bibliothek Bremen"	"LBBEK"	"DE-Bre4"
"Leibniz-Institut für Astrophysik Potsdam"	"AIP"	"DE-B33"
"Leibniz-Institut für Länderkunde, Geographische Zentralbibliothek, Leipzig"	"GZB"	"DE-185"
"Leibniz-Institut für Nutztierbiologie, Dummerstorf"	"FBN"	"DE-R48"
"Leibniz-Institut für Raumbezogene Sozialforschung (IRS)"	"IRS"	"DE-B567"
"Mathematisches Forschungsinstitut Oberwolfach gGmbH"	"MFO"	"DE-Frei3c"
"Max-Delbrück-Centrum für Molekulare Medizin (MDC), Berlin"	"MDCB"	"DE-B2225"
"Max Planck Institute for Plant Breeding"	"MPIZ"	"DE-Vol1"
"Max-Planck-Institute für Biochemie u. Neurobiologie, Martinsried"	"MPIBC"	"DE-M411"
"Max-Planck-Institute Stuttgart"	"MPIS"	"DE-Stg113"
"Max-Planck-Institute Tübingen"	"MPIT"	"DE-B107"
"Max-Planck-Institut für Astronomie, Heidelberg"	"MPIAS"	"DE-He81"
"Max-Planck-Institut für Astrophysik/extraterrestrische Physik, Garching"	"MPAEP"	"DE-B161a"
"Max-Planck-Institut für ausländisches öffentliches Recht und Völkerrecht"	"MPIV"	"DE-B208"
"Max-Planck-Institut für ausländisches und internationales Privatrecht, Hamburg"	"MPIPR"	"DE-B212"
"Max-Planck-Institut für ausländisches und internationales Strafrecht, Freiburg i. Br."	"MPAI"	"DE-Frei85"
"Max-Planck-Institut für Bildungsforschung, Berlin"	"MPIBF"	"DE-B1532"
"Max-Planck-Institut für biophysikalische Chemie, Göttingen"	"MPIBP"	"DE-Goe116"
"Max-Planck-Institut für Chemie, Mainz"	"MPICH"	"DE-Mz4"
"Max-Planck-Institut für Chemische Physik fester Stoffe, Dresden"	"CPFS"	"DE-D210"
"Max-Planck-Institut für demographische Forschung, Rostock"	"MPIDF"	""
"Max-Planck-Institut für Dynamik komplexer technischer Systeme, Magdeburg"	"MPIDS"	"DE-Ma54"
"Max-Planck-Institut für Dynamik und Selbstorganisation, Göttingen"	"MPISF"	""
"Max-Planck-Institut für Eisenforschung"	"MPIE"	"DE-Due57"
"Max-Planck-Institut für empirische Ästhetik"	"MPIAE"	"DE-2177"
"Max-Planck-Institut für Ethnologische Forschung, Halle"	"MPIEF"	"DE-Ha163"
"Max-Planck-Institut für europäische Rechtsgeschichte, Frankfurt/Main"	"MPIER"	"DE-F137"
"Max-Planck-Institut für evolutionäre Anthropologie, Leipzig"	"MPIEA"	"DE-L321"
"Max-Planck-Institut für Evolutionsbiologie, Plön"	"MPIL"	"DE-Pn1"
"Max-Planck-Institut für experimentelle Medizin, Göttingen"	"MPIEM"	"DE-Goe134"
"Max-Planck-Institut für Gesellschaftsforschung, Köln"	"MPIFG"	"DE-Kn188"
