Bibliothek des Hamburger Instituts für Sozialforschung	Hamburger Institut fu.r Sozialforschung
Bibliothek des Instituts für Zeitgeschichte, München	Institut fu.r Zeitgeschichte
Bibliothek des Internationalen Konversionszentrums Bonn (BICC)	Bonn International Center for Conversion
Bibliothek des Landeskirchenamts Hannover	Evangelisch-Lutherische Landeskirche Hannovers
Bibliothek des Max-Planck-Instituts für Innovation und Wettbewerb und des Max-Planck-Instituts für Steuerrecht und Öffentliche Finanzen	Max-Planck-Institut fu.r Innovation und Wettbewerb
Bibliothek des Max-Planck-Instituts für Innovation und Wettbewerb und des Max-Planck-Instituts für Steuerrecht und Öffentliche Finanzen	Max-Planck-Institut fu.r Steuerrecht und O.ffentliche Finanzen
Bibliothek des Wissenschaftsparks Albert Einstein, Potsdam	GeoForschungsZentrum Potsdam
Bibliothek des Wissenschaftsparks Albert Einstein, Potsdam	Deutsches GeoForschungsZentrum
Bibliothek des Wissenschaftsparks Albert Einstein, Potsdam	GeoForschungsZentrum
Bibliothek des Zentralinstituts für Seelische Gesundheit Mannheim	Zentralinstitut fu.r Seelische Gesundheit
Bibliothek des Zentrums für Zeithistorische Forschung e.V., Potsdam	Zentrum fu.r Zeithistorische Forschung Potsdam
Bibliotheken der Universität Frankfurt am Main	Goethe-Universita.t Frankfurt am Main
Bibliothekssystem der Justus-Liebig-Universität Gießen	Justus-Liebig-Universita.t Gießen
Bibliothekssystem der Universität Mainz	Johannes Gutenberg-Universita.t Mainz
Bibliothek Staatliche Studienakademie Leipzig	Berufsakademie Sachsen - Staatliche Studienakademie Leipzig
Bibliothek und Fachinformationsstelle der Wehrtechnischen Dienststelle für Schiffe und Marinewaffen, Maritime Technologie und Forschung, Kiel	Wehrtechnische Dienststelle fu.r Schiffe und Marinewaffen, Maritime Technologie und Forschung
Bibliothek und Fachinformationsstelle der Wehrtechnischen Dienststelle für Schiffe und Marinewaffen, Maritime Technologie und Forschung, Kiel	Bundeswehr. Wehrtechnische Dienststelle fu.r Schiffe und Marinewaffen der Bundeswehr, Maritime Technologie und Forschung
Bibliothek von ZKM und HfG Karlsruhe	Staatliche Hochschule fu.r Gestaltung Karlsruhe
Bibliothek von ZKM und HfG Karlsruhe	Zentrum fu.r Kunst und Medien
BIS - Bibliotheks- und Informationssystem der Universität Oldenburg	Carl von Ossietzky Universita.t Oldenburg
Bochum, Evangelische Hochschule Rheinland-Westfalen-Lippe / Hochschulbibliothek	Evangelische Fachhochschule Rheinland-Westfalen-Lippe
Bundesamt für Migration und Flüchtlinge (BAMF), Bibliothek	Bundesamt fu.r Migration und Flu.chtlinge
Bundesamt für Naturschutz (BfN) / Bibliothek (Bonn/Leipzig/Vilm)	Bundesamt fu.r Naturschutz
Bundesanstalt für Materialforschung und -prüfung (BAM)	Bundesanstalt fu.r Materialforschung und -pru.fung
