"Institution"	"EZB-Id"	"Sigel"
"Hochschulbibliothek der Hochschule Niederrhein"	"HSNRH"	"DE-829"
"Hochschulbibliothek der HTWG Konstanz"	"FHKN"	"DE-Kon4"
"Hochschulbibliothek der HTWK Leipzig"	"HTWK"	"DE-L189"
"Hochschulbibliothek der TH Köln"	"FHBK"	"DE-832"
"Hochschulbibliothek der WH Zwickau"	"WHZ"	"DE-Zwi2"
"Hochschulbibliothek EAH Jena"	"FHJ"	"DE-J59"
"Hochschulbibliothek Emden/Leer"	"FHOOW"	"DE-755"
"Hochschulbibliothek Esslingen"	"HBES"	"DE-753"
"Hochschulbibliothek Friedensau"	"THHFR"	"DE-Brg3"
"Hochschulbibliothek Heilbronn"	"FHHN"	"DE-840"
"Hochschulbibliothek Hof"	"FHBHO"	"DE-1051"
"Hochschulbibliothek Karlsruhe"	"HSBKA"	"DE-751"
"Hochschulbibliothek Kempten"	"FHBKA"	"DE-859"
"Hochschulbibliothek Magdeburg-Stendal"	"HBMST"	"DE-551"
"Hochschulbibliothek Mannheim"	"FHMA"	"DE-953"
"Hochschulbibliothek Merseburg"	"FHMQ"	"DE-542"
"Hochschulbibliothek Mittweida"	"HTWM"	"DE-Mit1"
"Hochschulbibliothek Neubrandenburg"	"FHNB"	"DE-519"
"Hochschulbibliothek Neu-Ulm"	"FHBNU"	"DE-1049"
"Hochschulbibliothek OTH Regensburg"	"FHBR"	"DE-898"
"Hochschulbibliothek Pforzheim"	"FHPF"	""
"Hochschulbibliothek Stralsund"	"FHSTR"	"DE-Sra5"
"Hochschulbibliothek Wismar"	"HSHWI"	"DE-Wis1"
"Hochschulbibliothek Worms"	"FHWO"	"DE-1117"
"Hochschulbibliothek Würzburg-Schweinfurt"	"FHBWS"	"DE-863"
"Hochschule Albstadt-Sigmaringen / Bibliothek"	"HSASI"	"DE-991"
"Hochschule Anhalt"	"HSB"	"DE-Kt1"
"Hochschule der Medien (HdM)"	"HDM"	"DE-958"
"Hochschule Fresenius, Idstein"	"EFF"	"DE-1126"
"Hochschule für Forstwirtschaft Rottenburg, Bibliothek"	"HFR"	"DE-955"
"Hochschule für Gesundheit"	"HFG"	"DE-1866"
"Hochschule für Musik Detmold"	"HMD"	"DE-575"
"Hochschule für Musik und Tanz Köln, Bibliothek"	"MHS"	"DE-Kn38"
"Hochschule für Musik und Theater München, Bibliothek"	"HMTM"	"DE-M29"
"Hochschule für Technik Stuttgart"	"HFTS"	"DE-1033"
"Hochschule für Technik und Wirtschaft des Saarlandes / Bibliothek"	"HTWS"	"DE-Sa16"
"Hochschule für Technik und Wirtschaft Dresden"	"HTWDD"	"DE-520"
"Hochschule Furtwangen - Die Bibliotheken"	"FHFU"	"DE-Fn1"
"Hochschule für Wirtschaft und Recht Berlin"	"FHW"	"DE-2070s"
"Hochschule Geisenheim"	"HBG"	""
"Hochschule Hamm-Lippstadt, Zentrum für Wissensmanagement"	"HSHL"	""
"Hochschule Kaiserslautern, Hochschulbibliothek"	"FHKL"	"DE-1082"
"Hochschule Karlsruhe - Technik und Wirtschaft HsKA"	"FBHKA"	"DE-90-4"
"Hochschule Koblenz RheinAhrCampus Remagen"	"HKRAC"	"DE-1105"
"Hochschule Osnabrück - Bibliothek"	"FHOS"	"DE-959"
"Hochschule Ravensburg-Weingarten (HRW)"	"HSBW"	"DE-747"
"Hochschule Reutlingen - Lernzentrum"	"FHRT"	"DE-Rt2"
"Hochschule Rhein-Waal"	"HRW"	""
"Hochschule Schmalkalden / Bibliothek"	"FHSM"	"DE-Shm2"
"Hochschule Trier / Bibliothek"	"FHTR"	"DE-Tr5"
"Hochschulinformations- und Bibliotheksservice (HIBS) der HAW-Hamburg"	"HAWHH"	""
"Hochschul- und Kreisbibliothek Bonn-Rhein-Sieg"	"FHBRS"	"DE-1044"
"Hochschul- und Landesbibliothek Fulda"	"FHFD"	"DE-66"
"Hochschul- und Landesbibliothek RheinMain"	"HLB"	"DE-43"
"Hochschul- und Landeskirchenbibliothek Wuppertal"	"THZW"	"DE-Ba4"
"HSFK-Bibliothek Frankfurt am Main"	"HSFK"	"DE-F197"
"Humboldt-Universität zu Berlin"	"UBHUB"	"DE-11-10"
"IfADo - Leibniz-Institut für Arbeitsforschung an der TU Dortmund - Bibliothek"	"IFADO"	"DE-Dm21"
"ILS - Institut für Landes- und Stadtentwicklungsforschung, Bibliothek, Dortmund"	"ILS"	""
"Institut für Arbeitsmarkt- und Berufsforschung, Nürnberg"	"IAB"	""
"Institut für Deutsche Sprache (IDS)"	"IDS"	"DE-Mh39"
"IPN Bibliothek, Kiel"	"IPN"	"DE-Ki128"
"IUBH Internationale Hochschule - Bibliothek"	"IUBH"	"DE-1278"
"IZUS / Universitätsbibliothek Stuttgart"	"UBS"	"DE-93"
"Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth, Hochschulbibliothek"	"FHWOE"	"DE-839"
"Johann Heinrich von Thünen-Institut, Bereich Wald"	"BFH"	"DE-H105"
"Johann Heinrich von Thünen-Institut (vTI), Bereich Fischerei"	"BFAFI"	"DE-H140"
"Karlsruher Institut für Technologie KIT"	"KIT"	"DE-90"
"KIM Konstanz, IT- und Bibliotheksdienste"	"UBKO"	"DE-352"
"Kunsthistorisches Institut in Florenz, Max-Planck-Institut"	"KHIFI"	"DE-Y3"
"Landesamt für Archäologie Sachsen, Bibliothek"	"LFADD"	"DE-D115"
"Landesamt für Denkmalpflege im Regierungspräsidium Stuttgart, Bibliothek (Sitz: Esslingen)"	"LDRS"	"DE-Ess5"
"Landesbibliothek Coburg"	"LBCO"	"DE-70"
"Landesbibliothek Mecklenburg-Vorpommern Schwerin"	"LBMV"	"DE-33"
"Landesbibliothek Oldenburg"	"LBO"	"DE-45"
"Landesbibliothekszentrum Rheinland-Pfalz"	"LBZ"	""
"Landeskirchliche Zentralbibliothek Stuttgart"	"LKZBS"	"DE-Stg117"
"Leibniz-Institut fuer Ostseeforschung Warnemünde (IOW)"	"IOW"	"DE-Wa1"
"Leibniz-Institut für Agrarentwicklung in Transformationsökonomien"	"IAMO"	"DE-2575"
"Leibniz-Institut für Gewässerökologie und Binnenfischerei"	"IGB"	"DE-B259"
"Leibniz-Institut für Länderkunde, Geographische Zentralbibliothek, Leipzig"	"GZB"	"DE-185"
"Leibniz-Institut für Neurobiologie Magdeburg (LIN), Bibliothek"	"LIN"	"DE-Ma45"
"Leibniz-Institut für Raumbezogene Sozialforschung (IRS)"	"IRS"	"DE-B567"
"Leibniz-Institut für Wissensmedien - Bibliothek"	"IWM"	""
"Leibniz-Zentrum für Agrarlandschaftsforschung (ZALF) e.V. Müncheberg"	"ZALF"	""
"Leibniz-Zentrum für Marine Tropenökologie - MEDIA Unit"	"ZMT"	"DE-Bre14"
"Lippische Landesbibliothek Detmold"	"LLD"	"DE-51"
"Macromedia Library"	"MHMK"	""
"Max-Planck-Institute für Biochemie u. Neurobiologie, Martinsried"	"MPIBC"	"DE-M411"
"Max-Planck-Institute Stuttgart"	"MPIS"	"DE-Stg113"
"Max-Planck-Institute Tübingen"	"MPIT"	"DE-B107"
"Max-Planck-Institut für Astronomie, Heidelberg"	"MPIAS"	"DE-He81"
"Max-Planck-Institut für Astrophysik/extraterrestrische Physik, Garching"	"MPAEP"	"DE-B161a"
"Max-Planck-Institut für ausländisches öffentliches Recht und Völkerrecht"	"MPIV"	"DE-B208"
"Max-Planck-Institut für ausländisches und internationales Privatrecht, Hamburg"	"MPIPR"	"DE-B212"
"Max-Planck-Institut für ausländisches und internationales Strafrecht, Freiburg i. Br."	"MPAI"	"DE-Frei85"
