"Institution"	"EZB-Id"	"Sigel"
"Hertie School of Governance"	"HSG"	"DE-B1570"
"Hochschule Hamm-Lippstadt, Zentrum für Wissensmanagement"	"HSHL"	""
"Hochschulbibliothek Wismar"	"HSHWI"	"DE-Wis1"
"Hochschulbibliothek der Hochschule Niederrhein"	"HSNRH"	"DE-829"
"Bibliothek der HTW-Berlin"	"HTW"	"DE-523"
"Hochschule für Technik und Wirtschaft Dresden"	"HTWDD"	"DE-520"
"Hochschulbibliothek der HTWK Leipzig"	"HTWK"	"DE-L189"
"Hochschulbibliothek Mittweida"	"HTWM"	"DE-Mit1"
"Hochschule für Technik und Wirtschaft des Saarlandes / Bibliothek"	"HTWS"	"DE-Sa16"
"ZBW - Leibniz-Informationszentrum Wirtschaft - Standort Hamburg"	"HWWA"	"DE-206H"
"Hochschulbibliothek der Hochschule Zittau/Görlitz"	"HZG"	"DE-Zi4"
"Institut für Arbeitsmarkt- und Berufsforschung, Nürnberg"	"IAB"	""
"Leibniz-Institut für Agrarentwicklung in Transformationsökonomien"	"IAMO"	"DE-2575"
"Bibliothek der Max-Planck-Institute für Chemische Ökologie und Biogeochemie"	"ICE"	"DE-J126"
"Institut für Deutsche Sprache (IDS)"	"IDS"	"DE-Mh39"
"IfADo - Leibniz-Institut für Arbeitsforschung an der TU Dortmund - Bibliothek"	"IFADO"	"DE-Dm21"
"GEOMAR Bibliothek - Helmholtz-Zentrum für Ozeanforschung Kiel"	"IFMAR"	"DE-Ki130"
"Bibliothek des Instituts für Zeitgeschichte, München"	"IFZ"	"DE-M352"
"Leibniz-Institut für Gewässerökologie und Binnenfischerei"	"IGB"	"DE-B259"
"ILS - Institut für Landes- und Stadtentwicklungsforschung, Bibliothek, Dortmund"	"ILS"	""
"Fraunhofer ICT-IMM"	"IMMMZ"	""
"NTNM-Bibliothek - Leibniz Institut für Neue Materialien gGmbH"	"INM"	"DE-291-415"
"Fraunhofer-Institut für Angewandte Optik und Feinmechanik IOF Jena"	"IOF"	""
"Leibniz-Institut fuer Ostseeforschung Warnemünde (IOW)"	"IOW"	"DE-Wa1"
"Leibniz-Institut für Pflanzenbiochemie"	"IPB"	"DE-Ha93"
"Leibniz-Institut für Pflanzengenetik und Kulturpflanzenforschung, Bibliothek"	"IPK"	"DE-Gat1"
"Bibliothek des Max-Planck-Instituts für Innovation und Wettbewerb und des Max-Planck-Instituts für Steuerrecht und Öffentliche Finanzen"	"IPMPG"	"DE-M382"
"IPN Bibliothek, Kiel"	"IPN"	"DE-Ki128"
"Leibniz-Institut für Raumbezogene Sozialforschung (IRS)"	"IRS"	"DE-B567"
"Leibniz-Institut für Analytische Wissenschaften - ISAS - e.V."	"ISAS"	""
"IUBH Internationale Hochschule - Bibliothek"	"IUBH"	"DE-1278"
"Leibniz-Institut für Wissensmedien - Bibliothek"	"IWM"	""
"Bibliothek der Konrad-Adenauer-Stiftung"	"KAS"	"DE-918"
"Bibliothek Burg Giebichenstein Kunsthochschule Halle"	"KDHAL"	"DE-Ha125"
"Kunsthistorisches Institut in Florenz, Max-Planck-Institut"	"KHIFI"	"DE-Y3"
"Karlsruher Institut für Technologie KIT"	"KIT"	"DE-90"
"Landeskirchliche Bibliothek Bremen"	"LBBEK"	"DE-Bre4"
"Landesbibliothek Coburg"	"LBCO"	"DE-70"
"Landesbibliothek Mecklenburg-Vorpommern Schwerin"	"LBMV"	"DE-33"
"Landesbibliothek Oldenburg"	"LBO"	"DE-45"
"Landesbibliothekszentrum Rheinland-Pfalz"	"LBZ"	""
"Landesamt für Denkmalpflege im Regierungspräsidium Stuttgart, Bibliothek (Sitz: Esslingen)"	"LDRS"	"DE-Ess5"
"Landesamt für Archäologie Sachsen, Bibliothek"	"LFADD"	"DE-D115"
"Leibniz-Institut für Neurobiologie Magdeburg (LIN), Bibliothek"	"LIN"	"DE-Ma45"
"Landeskirchliche Zentralbibliothek Stuttgart"	"LKZBS"	"DE-Stg117"
"Lippische Landesbibliothek Detmold"	"LLD"	"DE-51"
"Medizinische Bibliothek der Charité"	"MBCB"	"DE-578-e"
"Max-Delbrück-Centrum für Molekulare Medizin (MDC), Berlin"	"MDCB"	"DE-B2225"
"Fachhochschule Südwestfalen, Hochschulbibliothek"	"MFHB"	"DE-Hag4"
"Museum für Naturkunde, Leibniz-Institut für Evolutions- und Biodiversitätsforschung, Bibliothek"	"MFN"	"DE-B16"
"Mathematisches Forschungsinstitut Oberwolfach gGmbH, Bibliothek"	"MFO"	"DE-Frei3c"
"MHH-Bibliothek / Medizinische Hochschule Hannover"	"MHH"	"DE-354"
"Macromedia Library"	"MHMK"	""
"Hochschule für Musik und Tanz Köln, Bibliothek"	"MHS"	"DE-Kn38"
"Bibliothek der Staatlichen Hochschule für Musik Trossingen"	"MHTRO"	"DE-Trs1"
"Max-Planck-Institut für molekulare Genetik, Berlin"	"MOLGE"	"DE-B787"
"Max-Planck-Institut für Sonnensystemforschung, Göttingen"	"MPAE"	"DE-Lin1b"
"Max-Planck-Institut für Astrophysik/extraterrestrische Physik, Garching"	"MPAEP"	"DE-B161a"
"Max-Planck-Institut für ausländisches und internationales Strafrecht, Freiburg i. Br."	"MPAI"	"DE-Frei85"
"Max-Planck-Institut für Ornithologie, Seewiesen"	"MPFO"	"DE-Star1"
"Max-Planck-Institut für Psychiatrie"	"MPGPS"	"DE-M68"
"Max-Planck-Institut für empirische Ästhetik"	"MPIAE"	"DE-2177"
"Max-Planck-Institut für Astronomie, Heidelberg"	"MPIAS"	"DE-He81"
"Max-Planck-Institute für Biochemie u. Neurobiologie, Martinsried"	"MPIBC"	"DE-M411"
"Max-Planck-Institut für Bildungsforschung, Berlin"	"MPIBF"	"DE-B1532"
"Max-Planck-Institut für biophysikalische Chemie, Göttingen"	"MPIBP"	"DE-Goe116"
"Max-Planck-Institut für Chemie, Mainz"	"MPICH"	"DE-Mz4"
"Max-Planck-Institut für demographische Forschung, Rostock"	"MPIDF"	""
"Max-Planck-Institut für Dynamik komplexer technischer Systeme, Magdeburg"	"MPIDS"	"DE-Ma54"
"Max-Planck-Institut für Eisenforschung"	"MPIE"	"DE-Due57"
"Max-Planck-Institut für evolutionäre Anthropologie, Leipzig"	"MPIEA"	"DE-L321"
"Max-Planck-Institut für Ethnologische Forschung, Halle"	"MPIEF"	"DE-Ha163"
"Max-Planck-Institut für experimentelle Medizin, Göttingen"	"MPIEM"	"DE-Goe134"
"Max-Planck-Institut für europäische Rechtsgeschichte, Frankfurt/Main"	"MPIER"	"DE-F137"
"Max-Planck-Institut für  Menschheitsgeschichte, Jena"	"MPIEW"	"DE-J152"
"Max-Planck-Institut für Gesellschaftsforschung, Köln"	"MPIFG"	"DE-Kn188"
"Max-Planck-Institut für Radioastronomie, Bonn"	"MPIFR"	"DE-Bo146"
"Max-Planck-Institut zur Erforschung multireligiöser und multiethnischer Gesellschaften"	"MPIG"	"DE-Goe164"
"Max-Planck-Institut für Informatik Saarbrücken Max Planck Institute for Software Systems Kaiserslautern/Saarbrücken"	"MPII"	"DE-Sa18"
"Max-Planck-Institut für Infektionsbiologie"	"MPIIB"	""
"Max-Planck-Institut für Immunbiologie Freiburg"	"MPIIM"	"DE-Frei106"
"Max-Planck-Institut für Kolloid- und Grenzflächenforschung, Golm"	"MPIKG"	"DE-Po81"
"Max-Planck-Institut für Kernphysik, Heidelberg"	"MPIKP"	"DE-He74"
"Max-Planck-Institut für Evolutionsbiologie, Plön"	"MPIL"	"DE-Pn1"
"Max-Planck-Institut für Meteorologie, Hamburg"	"MPIM"	""
"Max-Planck-Institut für Mathematik, Bonn"	"MPIMA"	"DE-Bo206"
"Max-Planck-Institut für medizinische Forschung, Heidelberg"	"MPIMF"	"DE-He43"
