ISIL	EZB-Id	City	Name	Stocksize
DE-253         	FAL	Braunschweig	Thünen-Institut	100001-300000
DE-84          	TUBS	Braunschweig	Universitätsbibliothek Braunschweig	1000001-
DE-Bs68        	PTB	Braunschweig und Berlin	Bibliothek der Physikalisch-Technischen Bundesanstalt, Braunschweig und Berlin	100001-300000
               	VLB	Bregenz	Vorarlberger Landesbibliothek Bregenz	n/a
DE-Brt1        	BABRE	Breitenbrunn	BA Sachsen, Bibliothek der Staatlichen Studienakademie Breitenbrunn	10001-30000
DE-Bre2        	ISL	Bremen	Institut für Seeverkehrswirtschaft und Logistik, ISL InfoCenter/Bibliothek, Bremen	100001-300000
DE-Bre4        	LBBEK	Bremen	Landeskirchliche Bibliothek Bremen	30001-100000
DE-Bre14       	ZMT	Bremen	Leibniz-Zentrum für Marine Tropenökologie - MEDIA Unit	5001-10000
DE-Bre11       	MPIMM	Bremen	Max-Planck-Institut für marine Mikrobiologie, Bremen	-1000
DE-46          	SUUB	Bremen	Staats- und Universitätsbibliothek Bremen	1000001-
DE-Bv2         	AWIPM	Bremerhaven	Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung	30001-100000
DE-Bv3         	BDSB	Bremerhaven	Bibliothek des Deutschen Schiffahrtsmuseums Bremerhaven	30001-100000
               	MZK	Brünn	Mährische Landesbibliothek	n/a
               	VFU	Brünn	Universität für Tiermedizin und Pharmazeutische Forschung, Brünn	n/a
               	FHO	Buchs	FHO, Bibliotheken der Fachhochschule Ostschweiz	n/a
               	JCU	Budweis	Bibliotheken der Universität von Südböhmen, Budweis	n/a
               	HRC	Canton de Vaud	Fédération des hôpitaux vaudois FHV	n/a
DE-Ch1         	TUCHE	Chemnitz	Universitätsbibliothek Chemnitz	300001-1000000
               	BGS	CHUR	Bibliothek des Bildungszentrums Gesundheit und Soziales (BGS) Chur	n/a
               	KSG	Chur	Kantonsspital Graubünden	n/a
DE-104         	UBCL	Clausthal	Universitätsbibliothek Clausthal	300001-1000000
DE-858         	FHBCO	Coburg	Bibliothek der HS Coburg	30001-100000
DE-70          	LBCO	Coburg	Landesbibliothek Coburg	300001-1000000
DE-Vol1        	MPIZ	Cologne	Max Planck Institute for Plant Breeding	10001-30000
DE-Co2         	CTK	Cottbus	Bibliothek des Carl-Thiem-Klinikums Cottbus	10001-30000
DE-634         	TUCB	Cottbus	Universitätsbibliothek Cottbus-Senftenberg	300001-1000000
               	DAIDA	Damaskus	Deutsches Archäologisches Institut (DAI), Aussenstelle Damaskus der Orient-Abteilung	n/a
DE-Ds200       	GSI	Darmstadt	GSI-Bibliothek	30001-100000
DE-Ds114       	FHDA	Darmstadt	Medienzentrum der Hochschule Darmstadt	100001-300000
DE-17          	TUDA	Darmstadt	Universitäts- und Landesbibliothek Darmstadt	1000001-
DE-1050        	FHDEG	Deggendorf	Bibliothek der Technischen Hochschule Deggendorf	100001-300000
DE-575         	HMD	Detmold	Hochschule für Musik Detmold	100001-300000
DE-51          	LLD	Detmold	Lippische Landesbibliothek Detmold	300001-1000000
               	FHV	Dornbirn	Fachhochschule Vorarlberg, Dornbirn	n/a
DE-Dm13        	FHBDO	Dortmund	Fachhochschulbibliothek Dortmund	100001-300000
DE-Dm21        	IFADO	Dortmund	IfADo - Leibniz-Institut für Arbeitsforschung an der TU Dortmund - Bibliothek	10001-30000
               	ILS	Dortmund	ILS - Institut für Landes- und Stadtentwicklungsforschung, Bibliothek, Dortmund	n/a
DE-Dm1         	EZBDO	Dortmund	Max-Planck-Institut für molekulare Physiologie, Dortmund	10001-30000
DE-60          	STLB	Dortmund	Stadt- und Landesbibliothek Dortmund	1000001-
DE-290         	UBDO	Dortmund	Universitätsbibliothek Dortmund	1000001-
               	ISAS	Dortmund und Berlin	Leibniz-Institut für Analytische Wissenschaften - ISAS - e.V.	n/a
               	FRIKT	Dresden	Fraunhofer-Institut für Keramische Technologien und Systeme IKTS, Dresden, Hermsdorf	n/a
               	FRIWS	Dresden	Fraunhofer-Institut für Werkstoff- und Strahltechnik, IWS Dresden	n/a
DE-D161        	BADD	Dresden	Gemeinsame Bibliothek der BA Dresden und der EHS Dresden	10001-30000
DE-D120        	FZR	Dresden	Helmholtz-Zentrum Dresden-Rossendorf e.V.	30001-100000
DE-520         	HTWDD	Dresden	Hochschule für Technik und Wirtschaft Dresden	100001-300000
DE-D115        	LFADD	Dresden	Landesamt für Archäologie Sachsen, Bibliothek	100001-300000
DE-D210        	CPFS	Dresden	Max-Planck-Institut für Chemische Physik fester Stoffe, Dresden	30001-100000
DE-D267        	CBG	Dresden	Max-Planck-Institut für Molekulare Zellbiologie und Genetik, Dresden	10001-30000
DE-D206        	PKS	Dresden	Max-Planck-Institut für Physik komplexer Systeme, Dresden	5001-10000
DE-14          	SLUB	Dresden	Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden	1000001-
DE-465         	UGHE	Duisburg-Essen	Universitätsbibliothek Duisburg-Essen	1000001-
DE-464         	UBDU	Duisburg-Essen	Universitätsbibliothek Duisburg-Essen, Campus Duisburg	300001-1000000
DE-R48         	FBN	Dummerstorf	Leibniz-Institut für Nutztierbiologie, Dummerstorf	30001-100000
DE-Due62       	FHD	Düsseldorf	Hochschulbibliothek der Hochschule Düsseldorf	100001-300000
DE-Due57       	MPIE	Düsseldorf	Max-Planck-Institut für Eisenforschung	5001-10000
DE-61          	ULBD	Düsseldorf	Universitäts- und Landesbibliothek Düsseldorf	1000001-
DE-Eb1         	HNEE	Eberswalde	Hochschule für nachhaltige Entwicklung Eberswalde	100001-300000
DE-824         	UBE	Eichstätt	Universitätsbibliothek Eichstätt-Ingolstadt	1000001-
DE-Ei6         	BBE	Eisenach	Bibliothek der Dualen Hochschule Gera-Eisenach, Campus Eisenach	10001-30000
               	FHBEI	Eisenstadt	Fachhochschule Burgenland	n/a
DE-755         	FHOOW	Emden	Hochschulbibliothek Emden/Leer	100001-300000
DE-546         	FHEF	Erfurt	Bibliothek der Fachhochschule Erfurt	100001-300000
DE-547         	UBERF	Erfurt	Universitätsbibliothek Erfurt / Forschungsbibliothek Gotha	1000001-
DE-B567        	IRS	Erkner	Leibniz-Institut für Raumbezogene Sozialforschung (IRS)	30001-100000
DE-29          	UBEN	Erlangen	Universitätsbibliothek der FAU Erlangen-Nürnberg	1000001-
DE-753         	HBES	Esslingen	Hochschulbibliothek Esslingen	30001-100000
DE-Ess5        	LDRS	Esslingen	Landesamt für Denkmalpflege im Regierungspräsidium Stuttgart, Bibliothek (Sitz: Esslingen)	30001-100000
               	PHVOR	Feldkirch	Pädagogische Hochschule Vorarlberg	n/a
DE-Fl3         	HDFL	Flensburg	Zentrale Hochschulbibliothek Flensburg	300001-1000000
DE-Y3          	KHIFI	Florenz	Kunsthistorisches Institut in Florenz, Max-Planck-Institut	300001-1000000
DE-30          	UBFM	Frankfurt	Bibliotheken der Universität Frankfurt am Main	1000001-
DE-F36         	DAIRG	Frankfurt	Deutsches Archäologisches Institut (DAI), Römisch-Germanische Kommission (RGK)	100001-300000
               	DIPF	Frankfurt	DIPF | Leibniz-Institut für Bildungsforschung und Bildungsinformation	n/a
DE-F137        	MPIER	Frankfurt	Max-Planck-Institut für europäische Rechtsgeschichte, Frankfurt/Main	300001-1000000
DE-946         	FHF	Frankfurt am Main	Bibliothek der Frankfurt UAS	100001-300000
               	DBB	Frankfurt am Main	Deutsche Bundesbank - Bibliothek der Zentrale - Frankfurt am Main	n/a
DE-F197        	HSFK	Frankfurt am Main	HSFK-Bibliothek Frankfurt am Main	30001-100000
DE-2177        	MPIAE	Frankfurt am Main	Max-Planck-Institut für empirische Ästhetik	n/a
DE-B2081       	IHP	Frankfurt Oder	IHP Bibliothek Frankfurt (Oder)	5001-10000
DE-521         	EUV	Frankfurt/Oder	Universitätsbibliothek der Europa-Universität Viadrina Frankfurt/Oder	300001-1000000
DE-105         	TUBFR	Freiberg	Universitätsbibliothek Freiberg	300001-1000000
               	ABI	Freiburg	Arnold-Bergstraesser-Institut, Bibliothek, Freiburg i. Br.	n/a
DE-Frei68      	BWL	Freiburg	Bibliothek der Forstlichen Versuchs- und Forschungsanstalt Baden-Württemberg	10001-30000
DE-Frei129     	PHBFR	Freiburg	Bibliothek der Pädagogischen Hochschule Freiburg	300001-1000000
DE-Frei26      	BDCFR	Freiburg	Caritas-Bibliothek Freiburg	100001-300000
DE-Frei160     	EHF	Freiburg	Evangelische Hochschule Freiburg - Hochschulbibliothek	30001-100000
DE-Frei50      	HMF	Freiburg	Hochschule für Musik Freiburg, Bibliothek	100001-300000
DE-Frei106     	MPIIM	Freiburg	Max-Planck-Institut für Immunbiologie Freiburg	2001-3000
DE-25          	UBFRE	Freiburg	Universitätsbibliothek Freiburg	1000001-
DE-Frei85      	MPAI	Freiburg im Breisgau	Max-Planck-Institut für ausländisches und internationales Strafrecht, Freiburg i. Br.	300001-1000000
               	KUBFR	Freiburg/Schweiz	Kantons- und Universitätsbibliothek Freiburg/Schweiz	n/a
DE-Brg3        	THHFR	Friedensau	Hochschulbibliothek Friedensau	100001-300000
DE-66          	FHFD	Fulda	Hochschul- und Landesbibliothek Fulda	300001-1000000
               	MZBFD	Fulda	Med. Zentralbibliothek Klinikum Fulda	n/a
               	WLH	Fürth	Wilhelm Löhe Hochschule	n/a
DE-Fn1         	FHFU	Furtwangen	Hochschule Furtwangen - Die Bibliotheken	30001-100000
DE-B161a       	MPAEP	Garching	Max-Planck-Institut für Astrophysik/extraterrestrische Physik, Garching	10001-30000
DE-M359        	MPIPP	Garching	Max-Planck-Institut für Plasmaphysik	100001-300000
DE-M484        	MPQUA	Garching	Max-Planck-Institut für Quantenoptik, Garching	10001-30000
DE-Gat1        	IPK	Gatersleben	Leibniz-Institut für Pflanzengenetik und Kulturpflanzenforschung, Bibliothek	30001-100000
DE-Gt1         	GKSS	Geesthacht	Helmholtz-Zentrum Geesthacht, Bibliothek	30001-100000
               	HBG	Geisenheim	Hochschule Geisenheim	n/a
DE-1010        	FHBGE	Gelsenkirchen	Bibliothek der Westfälischen Hochschule Gelsenkirchen Bocholt Recklinghausen	100001-300000
DE-Ga20        	BBG	Gera	Bibliothek der Dualen Hochschule Gera-Eisenach, Campus Gera	10001-30000
DE-Ga6         	WKG	Gera	SRH Wald-Klinikum Gera - Medizinische Bibliothek	10001-30000
DE-26          	UBGIE	Gießen	Bibliothekssystem der Justus-Liebig-Universität Gießen	1000001-
