"Lizenzliste: Wiley DEAL KP [EZB-WIDEA-01707]"			 			 			 			 			 	
"Datum: 05.09.2020 um 00:25 Uhr"			 			 			 			 			 	
"Typ der Lizenzen: Alle angezeigten Lizenzen"			 			 			 			 			 	
 			 			 			 			 			 	
"EZB-Id"	"Titel"	"Verlag"	"Fach"	"E-ISSN"	"P-ISSN"	"ZDB-Nummer"	"FrontdoorURL"	"Link zur Zeitschrift"	"erstes Jahr"	"erstes volume"	"erstes issue"	"letztes Jahr"	"letztes volume"	"letztes issue"	"Embargo"	"Schlagworte"
7318	"Africa Research Bulletin : Economic, Financial and Technical Series"	"Wiley-Blackwell - SSH"	"Wirtschaftswissenschaften"	"1467-6346"	"0001-9852"	"2009211-8"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=7318"	"https://onlinelibrary.wiley.com/journal/14676346"	1997	34	1				0	"Wirtschaftsbericht: Afrika"
5531	"Africa Research Bulletin : Political, Social and Cultural Series"	"Wiley-Blackwell - SSH"	"Politologie"	"1467-825X"	"0001-9844"	"1501318-2"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=5531"	"https://onlinelibrary.wiley.com/journal/1467825X"	1997	34	1				0	"Länderbericht Afrika"
9981	"African Development Review"	"Wiley-Blackwell - SSH"	"Politologie;Soziologie"	"1467-8268"	"1017-6772"	"2008966-1"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=9981"	"https://onlinelibrary.wiley.com/journal/14678268"	1989	1	1				0	"Entwicklungszusammenarbeit;Länderbericht Afrika"
5586	"African Journal of Ecology"	"Wiley-Blackwell - STM "	"Biologie"	"1365-2028"	"0141-6707"	"2019879-6"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=5586"	"https://onlinelibrary.wiley.com/journal/13652028"	1963	1					0	"Regionale Ökologie Afrika"
1814	"Aggressive Behavior"	"Wiley"	"Psychologie"	"1098-2337"	"0096-140X"	"1501704-7"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=1814"	"https://onlinelibrary.wiley.com/journal/10982337"	1974	1	1				0	"Verhaltenspsychologie"
4935	"Agribusiness"	"Wiley-Blackwell - SSH"	"Land- und Forstwirtschaft. Gartenbau. Fischereiwirtschaft. Hauswirtschaft. Ernährung;Wirtschaftswissenschaften"	"1520-6297"	"0742-4477"	"2001211-1"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=4935"	"https://onlinelibrary.wiley.com/journal/15206297"	1985	1	1				0	"Agrarökonomie"
5327	"Agricultural and Forest Entomology"	"Wiley-Blackwell - STM "	"Biologie;Land- und Forstwirtschaft. Gartenbau. Fischereiwirtschaft. Hauswirtschaft. Ernährung"	"1461-9563"	"1461-9555"	"2016391-5"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=5327"	"https://onlinelibrary.wiley.com/journal/14619563"	1999	1	1				0	"Entomologie"
52470	"Agricultural Economics (2000-)"	"Wiley-Blackwell - SSH"	"Land- und Forstwirtschaft. Gartenbau. Fischereiwirtschaft. Hauswirtschaft. Ernährung;Wirtschaftswissenschaften"	"1574-0862"	"0169-5150"	"1499675-3"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=52470"	"https://onlinelibrary.wiley.com/journal/15740862"	2000	22	1				0	"Agrarökonomie"
10011	"Agronomy Journal (formerly Journal of the American Society of Agronomy; Proceedings)"	"Wiley ; American Society of Agronomy "	"Energie, Umweltschutz, Kerntechnik;Land- und Forstwirtschaft. Gartenbau. Fischereiwirtschaft. Hauswirtschaft. Ernährung"	"1435-0645"	"0002-1962"	"1471598-3"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=10011"	"https://acsess.onlinelibrary.wiley.com/journal/14350645"	1907	1					0	"Allgemeine Agrarwissenschaften"
40392	"AIChE Journal"	"American Institute of Chemical Engineers (AIChE); Wiley"	"Chemie und Pharmazie;Verfahrenstechnik, Biotechnologie, Lebensmitteltechnologie"	"1547-5905"	"0001-1541"	"2020333-0"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=40392"	"https://onlinelibrary.wiley.com/journal/15475905"	1955	1	1				0	"Chemische Verfahrenstechnik"
37292	"Alcoholism & Drug Abuse Weekly"	"Wiley"	"Medizin"	"1556-7591"	"1042-1394"	"2069614-0"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=37292"	"https://onlinelibrary.wiley.com/journal/15567591"	2005	17	1				0	"Suchtforschung"
62041	"Alcoholism : Clinical and Experimental Research"	"Wiley"	"Medizin"	"1530-0277"	"0145-6008"	"2046886-6"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=62041"	"https://onlinelibrary.wiley.com/journal/15300277"	1977	1	1				0	"Suchtforschung"
5588	"Alimentary Pharmacology & Therapeutics"	"Wiley"	"Medizin"	"1365-2036"	"0269-2813"	"2003094-0"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=5588"	"https://onlinelibrary.wiley.com/journal/13652036"	1987	1	1				0	"Pharmazie;Pharmakologie"
62314	"Alimentary Pharmacology and Therapeutics Symposium Series"	"Wiley-Blackwell"	"Medizin"	"1746-6342"	"1746-6334"	"2217809-0"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=62314"	"https://onlinelibrary.wiley.com/journal/17466342"	2005	1	1	2007	3	2	0	"Pharmakologie"
5395	"Allergy (incl. Supplemente)"	"Wiley"	"Medizin"	"1398-9995"	"0105-4538"	"2003114-2"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=5395"	"https://onlinelibrary.wiley.com/journal/13989995"	1948	1	1				0	"Immunologie"
56423	"Alternatives to the High Cost of Litigation"	"Wiley-Blackwell - SSH"	"Rechtswissenschaft"	"1549-4381"	"1549-4373"	"2193210-4"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=56423"	"https://onlinelibrary.wiley.com/journal/15494381"	1983	1	1				0	"Anwaltswesen;Prozesswesen"
58494	"Alzheimer's & Dementia -Alzheimers and Dementia-"	"Wiley ; formerly Elsevier"	"Medizin"	"1552-5279"	"1552-5260"	"2201940-6"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=58494"	"https://onlinelibrary.wiley.com/journal/15525279"	2005	1	1				0	"Geriatrie;Neurologie;Psychiatrie"
29380	"American Anthropologist"	"Wiley-Blackwell - SSH ; American Anthropological Association"	"Ethnologie (Volks- und Völkerkunde)"	"1548-1433"	"0002-7294"	"2046483-6"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=29380"	"https://onlinelibrary.wiley.com/journal/15481433"	1888	1	1				0	"Allgemeine Ethnographie"
53398	"American Business Law Journal"	"Wiley-Blackwell - SSH"	"Rechtswissenschaft;Wirtschaftswissenschaften"	"1744-1714"	"0002-7766"	"2065786-9"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=53398"	"https://onlinelibrary.wiley.com/journal/17441714"	1963	1	1				0	" Wirtschaftsrecht"
60773	"American Ethnologist (AE)"	"Wiley-Blackwell - SSH ; American Anthropological Association"	"Ethnologie (Volks- und Völkerkunde)"	"1548-1425"	"0094-0496"	"2067383-8"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=60773"	"https://onlinelibrary.wiley.com/journal/15481425/"	1974	1	1				0	"Regionale Ethnographie Nordamerika"
129545	"American Journal of Agricultural Economics"	"Wiley ; formerly Oxford University Press (OUP)"	"Land- und Forstwirtschaft. Gartenbau. Fischereiwirtschaft. Hauswirtschaft. Ernährung;Wirtschaftswissenschaften"	"1467-8276"	"0002-9092"	"2026345-4"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=129545"	"https://onlinelibrary.wiley.com/journal/14678276"	1919	1					0	"Agrarökonomie"
3759	"American Journal of Botany "	"Wiley ; Botanical Society of America"	"Biologie"	"1537-2197"	"0002-9122"	"2053581-8"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=3759"	"https://onlinelibrary.wiley.com/journal/15372197"	1914	1	1				0	"Allgemeine Botanik"
7919	"American Journal of Community Psychology"	"Wiley ; formerly Springer Science+Business Media B.V. "	"Psychologie"	"1573-2770"	"0091-0562"	"2014838-0"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=7919"	"https://onlinelibrary.wiley.com/journal/15732770"	1973	1	1				0	"Allgemeine psychologische Zeitschriften"
7410	"American Journal of Economics and Sociology, The"	"Wiley-Blackwell - SSH"	"Soziologie;Wirtschaftswissenschaften"	"1536-7150"	"0002-9246"	"2011062-5"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=7410"	"https://onlinelibrary.wiley.com/journal/15367150"	1941	1	1				0	"Wirtschaftssoziologie"
1816	"American Journal of Hematology"	"Wiley-Blackwell - STM "	"Medizin"	"1096-8652"	"0361-8609"	"1492749-4"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=1816"	"https://onlinelibrary.wiley.com/journal/10968652"	1976	1	1				0	"Hämatologie;Onkologie"
4858	"American Journal of Human Biology"	"Wiley-Blackwell - STM "	"Biologie;Medizin"	"1520-6300"	"1042-0533"	"2001218-4"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=4858"	"https://onlinelibrary.wiley.com/journal/15206300"	1989	1	1				0	"Humanbiologie"
1818	"American Journal of Industrial Medicine"	"Wiley"	"Medizin"	"1097-0274"	"0271-3586"	"1491156-5"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=1818"	"https://onlinelibrary.wiley.com/journal/10970274"	1980	1	1				0	"Arbeitsmedizin"
339553	"American Journal of Medical Genetics (1----2002)"	"Wiley-Blackwell - STM "	"Medizin"	"1096-8628"	"0148-7299"	"2205916-7"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=339553"	"https://onlinelibrary.wiley.com/loi/10968628"	1977	1	1	2002	115	4	0	"Genetik"
1819	"American Journal of Medical Genetics, Part A"	"Wiley"	"Biologie;Medizin"	"1552-4833"	"1552-4825"	"1493479-6"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=1819"	"https://onlinelibrary.wiley.com/journal/15524833"	2003	116					0	"Humanbiologie"
42143	"American Journal of Medical Genetics, Part B: Neuropsychiatric Genetics"	"Wiley"	"Medizin"	"1552-485X"	"1552-4841"	"2143866-3"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=42143"	"https://onlinelibrary.wiley.com/journal/1552485x"	2003	116					0	"Neurologie"
42144	"American Journal of Medical Genetics, Part C: Seminars in Medical Genetics"	"Wiley"	"Medizin"	"1552-4876"	"1552-4868"	"2143867-5"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=42144"	"https://onlinelibrary.wiley.com/journal/15524876"	2003	117					0	"Humanbiologie"
1821	"American Journal of Physical Anthropology"	"Wiley-Blackwell - STM "	"Biologie"	"1096-8644"	"0002-9483"	"1495833-8"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=1821"	"https://onlinelibrary.wiley.com/journal/10968644"	1918	1	1				0	"Anthropologie"
1041	"American Journal of Political Science (AJPS) (2003-)"	"Wiley-Blackwell - SSH"	"Politologie"	"1540-5907"	"0092-5853"	"2010010-3"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=1041"	"https://onlinelibrary.wiley.com/journal/15405907"	2003	47	1				0	"Allgemeine Politikwissenschaft"
1822	"American Journal of Primatology"	"Wiley-Blackwell - STM "	"Biologie"	"1098-2345"	"0275-2565"	"1495834-X"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=1822"	"https://onlinelibrary.wiley.com/journal/10982345"	1981	1	1				0	"Allgemeine Zoologie;Anthrophologie"
